% Model,WG_straight_副本.mph,,
% Version,COMSOL 6.2.0.339,,
% Date,"Sep 14 2025, 10:04",,
% Table,,,
% wg_width (um),sample_freq (1/s),neff (m^2),
1.3,1.84E+14,1.4395873781631827-1.0222755554374723E-4i,1.38E-10
1.3,1.84E+14,1.440509009097066-8.867647630567883E-5i,1.34E-10
1.3,1.84E+14,1.4414844396101292-4.405040883096384E-5i,1.35E-10
1.3,1.84E+14,1.4417495928841377-4.349866353079329E-5i,1.63E-10
1.3,1.84E+14,1.509230078,8.18E-13
1.3,1.85E+14,1.4398811557264013-1.0580267034204653E-4i,1.34E-10
1.3,1.85E+14,1.4397372212236734-1.0037361287791119E-4i,1.38E-10
1.3,1.85E+14,1.440645274801949-8.722930900940656E-5i,1.34E-10
1.3,1.85E+14,1.4416108272723318-4.3292800856367664E-5i,1.35E-10
1.3,1.85E+14,1.4418748641816648-4.2697704974614514E-5i,1.63E-10
1.3,1.85E+14,1.510571757,8.02E-13
1.3,1.86E+14,1.440023661901932-1.0409888253095636E-4i,1.34E-10
1.3,1.86E+14,1.4398847794571819-9.85343487540866E-5i,1.38E-10
1.3,1.86E+14,1.4407795531978345-8.581340919114723E-5i,1.34E-10
1.3,1.86E+14,1.4417354256114692-4.254965681732384E-5i,1.35E-10
1.3,1.86E+14,1.4419982575675478-4.191704244406778E-5i,1.63E-10
1.3,1.86E+14,1.511915243,7.87E-13
1.3,1.87E+14,1.4401640880364575-1.0240981045597662E-4i,1.34E-10
1.3,1.87E+14,1.4400300637577108-9.677881168935232E-5i,1.38E-10
1.3,1.87E+14,1.4409118900473206-8.442790333384595E-5i,1.34E-10
1.3,1.87E+14,1.4418582794597672-4.182041834136242E-5i,1.35E-10
1.3,1.87E+14,1.44211981905677-4.115600207816091E-5i,1.63E-10
1.3,1.87E+14,1.513260371,7.72E-13
1.3,1.88E+14,1.4403025032691488-1.0076312728636076E-4i,1.34E-10
1.3,1.88E+14,1.440173152338612-9.501713362639829E-5i,1.38E-10
1.3,1.88E+14,1.4410423299262904-8.307200983689248E-5i,1.34E-10
1.3,1.88E+14,1.4419794328168334-4.110452521416502E-5i,1.35E-10
1.3,1.88E+14,1.4422395932642464-4.04139378753001E-5i,1.63E-10
1.3,1.88E+14,1.514606979,7.58E-13
1.3,1.89E+14,1.44043892730555-9.916190420147187E-5i,1.34E-10
1.3,1.89E+14,1.440314066551616-9.337720744508582E-5i,1.38E-10
1.3,1.89E+14,1.441170916073679-8.174488929709791E-5i,1.34E-10
1.3,1.89E+14,1.4420989289442674-4.0401412354595085E-5i,1.35E-10
1.3,1.89E+14,1.4423576234576794-3.969023027056129E-5i,1.63E-10
1.3,1.89E+14,1.515954908,7.44E-13
1.3,1.90E+14,1.4405734108546224-9.757505910045638E-5i,1.34E-10
1.3,1.90E+14,1.4404529061591138-9.171880196965135E-5i,1.38E-10
1.3,1.90E+14,1.4412976906619448-8.044579680099027E-5i,1.34E-10
1.3,1.90E+14,1.4422168104678637-3.9710505009653864E-5i,1.35E-10
1.3,1.90E+14,1.4424739516087968-3.89842846898771E-5i,1.63E-10
1.3,1.90E+14,1.517304002,7.31E-13
1.3,1.91E+14,1.4407060097596398-9.605157658473093E-5i,1.34E-10
1.3,1.91E+14,1.440589724672563-9.013509683916622E-5i,1.38E-10
1.3,1.91E+14,1.441422694683017-7.917395997106863E-5i,1.34E-10
1.3,1.91E+14,1.4423331194942406-3.9031214094010444E-5i,1.35E-10
1.3,1.91E+14,1.442588618441394-3.8295530650711596E-5i,1.63E-10
1.3,1.91E+14,1.518654111,7.18E-13
1.3,1.92E+14,1.4408367551339685-9.454191884884094E-5i,1.34E-10
1.3,1.92E+14,1.4407245389274805-8.85751837408703E-5i,1.38E-10
1.3,1.92E+14,1.4415459680508111-7.792866933879525E-5i,1.34E-10
1.3,1.92E+14,1.4424478977399913-3.8362933638830265E-5i,1.35E-10
1.3,1.92E+14,1.442701663477981-3.7623420187455606E-5i,1.63E-10
1.3,1.92E+14,1.520005087,7.06E-13
1.3,1.93E+14,1.4409656871585927-9.306303662470933E-5i,1.34E-10
1.3,1.93E+14,1.440857402581358-8.705041594452492E-5i,1.38E-10
1.3,1.93E+14,1.4416675496171747-7.67092074893419E-5i,1.34E-10
1.3,1.93E+14,1.4425611866832233-3.770503230301335E-5i,1.35E-10
1.3,1.93E+14,1.4428131250838427-3.696742713049041E-5i,1.63E-10
1.3,1.93E+14,1.521356786,6.94E-13
1.3,1.94E+14,1.441092844136939-9.160799128207578E-5i,1.34E-10
1.3,1.94E+14,1.4409883688539002-8.555227373949842E-5i,1.39E-10
1.3,1.94E+14,1.4417874772209345-7.55148904236797E-5i,1.34E-10
1.3,1.94E+14,1.4426730277381714-3.705684725256896E-5i,1.35E-10
1.3,1.94E+14,1.4429230405093472-3.6327045897739195E-5i,1.63E-10
1.3,1.94E+14,1.522709067,6.82E-13
1.3,1.95E+14,1.441218285766749-9.016588999875518E-5i,1.34E-10
1.3,1.95E+14,1.4411174877304231-8.40832190014769E-5i,1.39E-10
1.3,1.95E+14,1.4419057877157013-7.434504121289553E-5i,1.34E-10
1.3,1.95E+14,1.4427834624630889-3.641767544894105E-5i,1.35E-10
1.3,1.95E+14,1.4430314459303792-3.570179056940778E-5i,1.63E-10
1.3,1.95E+14,1.524061792,6.71E-13
1.3,1.96E+14,1.441342028103509-8.876280227506045E-5i,1.34E-10
1.3,1.96E+14,1.4412447626446616-8.26806963764239E-5i,1.39E-10
1.3,1.96E+14,1.4420225170603302-7.319902062267425E-5i,1.34E-10
1.3,1.96E+14,1.4428925328116269-3.578676062667663E-5i,1.35E-10
1.3,1.96E+14,1.4431383764868089-3.509119393045432E-5i,1.63E-10
1.3,1.96E+14,1.525414829,6.60E-13
1.3,1.97E+14,1.4414640857737957-8.744703154331924E-5i,1.34E-10
1.3,1.97E+14,1.4413702734430553-8.128824299777445E-5i,1.39E-10
1.3,1.97E+14,1.442137700262813-7.207617876968557E-5i,1.34E-10
1.3,1.97E+14,1.4430002814378602-3.516328213107721E-5i,1.35E-10
1.3,1.97E+14,1.443243866319678-3.449480659695659E-5i,1.63E-10
1.3,1.97E+14,1.526768046,6.49E-13
1.3,1.98E+14,1.4415845398003615-8.612208081340172E-5i,1.34E-10
1.3,1.98E+14,1.4414940565976906-7.993526054743409E-5i,1.39E-10
1.3,1.98E+14,1.4422513715167231-7.097590935218007E-5i,1.34E-10
1.3,1.98E+14,1.4431067520765495-3.4546337742103894E-5i,1.35E-10
1.3,1.98E+14,1.4433479486064724-3.391219633428497E-5i,1.63E-10
1.3,1.98E+14,1.528121318,6.39E-13
1.3,1.99E+14,1.4417034110846305-8.481852812549837E-5i,1.34E-10
1.3,1.99E+14,1.4416161387580666-7.861065194914141E-5i,1.39E-10
1.3,1.99E+14,1.4423635641846018-6.989759371556954E-5i,1.34E-10
1.3,1.99E+14,1.4432119900181277-3.393491891811837E-5i,1.35E-10
1.3,1.99E+14,1.443450655594909-3.3342947054678766E-5i,1.63E-10
1.3,1.99E+14,1.529474519,6.29E-13
1.3,2.00E+14,1.4418207278407973-8.352151719222054E-5i,1.34E-10
1.3,2.00E+14,1.4417365728513665-7.732586914135395E-5i,1.39E-10
1.3,2.00E+14,1.4424743108705742-6.884064736721989E-5i,1.34E-10
1.3,2.00E+14,1.4433160427175038-3.332788450803121E-5i,1.36E-10
1.3,2.00E+14,1.4435520186354918-3.278665820724352E-5i,1.63E-10
1.3,2.00E+14,1.53082753,6.19E-13
1.3,2.01E+14,1.441936532391521-8.229127335388101E-5i,1.34E-10
1.3,2.01E+14,1.4418553985919933-7.606684354763783E-5i,1.39E-10
1.3,2.01E+14,1.4425836434626882-6.780446465252311E-5i,1.34E-10
1.3,2.01E+14,1.4434189605805332-3.272392235873618E-5i,1.36E-10
1.3,2.01E+14,1.4436520682124847-3.224294408880936E-5i,1.63E-10
1.3,2.01E+14,1.532180234,6.10E-13
1.3,2.02E+14,1.4420508604828661-8.104236673234549E-5i,1.34E-10
1.3,2.02E+14,1.4419726504497246-7.484200901924648E-5i,1.39E-10
1.3,2.02E+14,1.4426915931956115-6.6788473335152E-5i,1.34E-10
1.3,2.02E+14,1.443520797996418-3.212150204145935E-5i,1.36E-10
1.3,2.02E+14,1.4437508339737861-3.171143310003837E-5i,1.63E-10
1.3,2.02E+14,1.533532517,6.00E-13
1.3,2.03E+14,1.4421636939091143-7.986719947317054E-5i,1.34E-10
1.3,2.03E+14,1.4420883572706344-7.360509071704741E-5i,1.39E-10
1.3,2.03E+14,1.4427981906861314-6.579208931857429E-5i,1.34E-10
1.3,2.03E+14,1.4436216147156298-3.1518806472781824E-5i,1.36E-10
1.3,2.03E+14,1.443848344759476-3.119176721985613E-5i,1.63E-10
1.3,2.03E+14,1.534884268,5.91E-13
1.3,2.04E+14,1.442275124718476-7.864114373650788E-5i,1.34E-10
1.3,2.04E+14,1.4422025545013142-7.240626648976779E-5i,1.39E-10
1.3,2.04E+14,1.4429034661222444-6.481471069629582E-5i,1.34E-10
1.3,2.04E+14,1.4437214777224503-3.09136448116674E-5i,1.36E-10
1.3,2.04E+14,1.4439446286291837-3.0683601292302276E-5i,1.63E-10
1.3,2.04E+14,1.536235379,5.83E-13
1.3,2.05E+14,1.4423851601168483-7.749452646558222E-5i,1.34E-10
1.3,2.05E+14,1.4423152624080755-7.125776086887607E-5i,1.39E-10
1.3,2.05E+14,1.4430074492184373-6.385575875359033E-5i,1.34E-10
1.3,2.05E+14,1.4438204638137764-3.030332541400385E-5i,1.36E-10
1.3,2.05E+14,1.4440397128883284-3.018660257442385E-5i,1.63E-10
1.3,2.05E+14,1.537585746,5.74E-13
1.3,2.06E+14,1.4424938738894477-7.639244311275964E-5i,1.34E-10
1.3,2.06E+14,1.4424265308387707-7.014313357893772E-5i,1.39E-10
1.3,2.06E+14,1.443110169484277-6.291458730454689E-5i,1.34E-10
1.3,2.06E+14,1.4439186632387784-2.968448353340692E-5i,1.36E-10
1.3,2.06E+14,1.444133624113487-2.970045013012153E-5i,1.63E-10
1.3,2.06E+14,1.538935267,5.66E-13
1.3,2.07E+14,1.4426012252812994-7.527098894068066E-5i,1.34E-10
1.3,2.07E+14,1.442536361869071-6.903772231804293E-5i,1.39E-10
1.3,2.07E+14,1.4432116564109272-6.199054532227118E-5i,1.34E-10
1.3,2.07E+14,1.4442263881765462-2.9224834288038092E-5i,1.63E-10
1.3,2.07E+14,1.4440161849297233-2.9052828380583688E-5i,1.36E-10
1.3,2.07E+14,1.540283844,5.58E-13
1.3,2.08E+14,1.442707272192568-7.417625999486021E-5i,1.34E-10
1.3,2.08E+14,1.4426448416023343-6.793774931973663E-5i,1.40E-10
1.3,2.08E+14,1.4433119397252157-6.108289061267227E-5i,1.34E-10
1.3,2.08E+14,1.4443180302679886-2.875945625116255E-5i,1.63E-10
1.3,2.08E+14,1.444113164202322-2.8402773244225E-5i,1.37E-10
1.3,2.08E+14,1.54163138,5.50E-13
1.3,2.09E+14,1.4428120482410292-7.312019619774397E-5i,1.34E-10
1.3,2.09E+14,1.442751970952834-6.686879457106923E-5i,1.40E-10
1.3,2.09E+14,1.44341104990149-6.0190792422747765E-5i,1.34E-10
1.3,2.09E+14,1.444408574919216-2.8304027564037125E-5i,1.63E-10
1.3,2.09E+14,1.4442097744015971-2.7726880094525874E-5i,1.37E-10
1.3,2.09E+14,1.542977783,5.42E-13
1.3,2.10E+14,1.4429155155872884-7.203087420557701E-5i,1.34E-10
1.3,2.10E+14,1.4428577704209182-6.582342916788852E-5i,1.40E-10
1.3,2.10E+14,1.4435090188709072-5.9313224797000783E-5i,1.34E-10
1.3,2.10E+14,1.4444980460241275-2.7858269694038874E-5i,1.63E-10
1.3,2.10E+14,1.444306245035421-2.7014999253904335E-5i,1.37E-10
1.3,2.10E+14,1.544322961,5.35E-13
1.3,2.11E+14,1.4430177878169257-7.100629573023089E-5i,1.34E-10
1.3,2.11E+14,1.4429622707370426-6.48355539782855E-5i,1.40E-10
1.3,2.11E+14,1.443605881301888-5.844887390693838E-5i,1.34E-10
1.3,2.11E+14,1.4445864668597264-2.7421913636095958E-5i,1.63E-10
1.3,2.11E+14,1.444402890984928-2.6252898811470603E-5i,1.37E-10
1.3,2.11E+14,1.545666829,5.28E-13
1.3,2.12E+14,1.4431188799573578-7.0030920730274E-5i,1.34E-10
1.3,2.12E+14,1.443065504901678-6.383395591021434E-5i,1.40E-10
1.3,2.12E+14,1.443701676774503-5.759590842198243E-5i,1.34E-10
1.3,2.12E+14,1.4446738601060485-2.6994699452701734E-5i,1.63E-10
1.3,2.12E+14,1.4445001614129995-2.5420010603535574E-5i,1.37E-10
1.3,2.12E+14,1.5470093,5.21E-13
1.3,2.13E+14,1.443218774745364-6.904902417163679E-5i,1.34E-10
1.3,2.13E+14,1.4431675078772752-6.285680385866156E-5i,1.40E-10
1.3,2.13E+14,1.443796454037995-5.6751506724071367E-5i,1.34E-10
1.3,2.13E+14,1.4447602478652826-2.657637595579137E-5i,1.63E-10
1.3,2.13E+14,1.4445987253895762-2.4485586597703314E-5i,1.37E-10
1.3,2.13E+14,1.548350293,5.14E-13
1.3,2.14E+14,1.4433175137937093-6.807811468419613E-5i,1.34E-10
1.3,2.14E+14,1.4432682920024857-6.190346988639677E-5i,1.40E-10
1.3,2.14E+14,1.4438902797400297-5.591087574800208E-5i,1.34E-10
1.3,2.14E+14,1.4448456516801726-2.616670032183075E-5i,1.63E-10
1.3,2.14E+14,1.4446996297024701-2.3401912817720688E-5i,1.36E-10
1.3,2.14E+14,1.549689728,5.07E-13
1.3,2.15E+14,1.4434151243816753-6.712209824052013E-5i,1.34E-10
1.3,2.15E+14,1.443367888978064-6.097074881056818E-5i,1.40E-10
1.3,2.15E+14,1.4439832585820263-5.506477056544505E-5i,1.34E-10
1.3,2.15E+14,1.4449300925517767-2.5765437751396304E-5i,1.63E-10
1.3,2.15E+14,1.4448046073519094-2.209196402744554E-5i,1.33E-10
1.3,2.15E+14,1.551027527,5.01E-13
1.3,2.16E+14,1.443511620619489-6.618212561544335E-5i,1.34E-10
1.3,2.16E+14,1.4434663178182816-6.0053350392178647E-5i,1.40E-10
1.3,2.16E+14,1.4440755869851232-5.4192248995874204E-5i,1.35E-10
1.3,2.16E+14,1.4450135909565385-2.5372361134635163E-5i,1.63E-10
1.3,2.16E+14,1.4449167212679699-2.0426816909339264E-5i,1.25E-10
1.3,2.16E+14,1.552363616,4.94E-13
1.3,2.17E+14,1.4436070384590962-6.524942575298708E-5i,1.34E-10
1.3,2.17E+14,1.444167729211548-5.3233760002364715E-5i,1.36E-10
1.3,2.17E+14,1.4435649494478453-3.9718790608822416E-5i,2.74E-11
1.3,2.17E+14,1.445096166862727-2.498725073098117E-5i,1.63E-10
1.3,2.17E+14,1.4450417974791856-1.818765661672989E-5i,1.09E-10
1.3,2.17E+14,1.553697923,4.88E-13
1.3,2.18E+14,1.4437013832656005-6.437635587894572E-5i,1.34E-10
1.3,2.18E+14,1.4442612261329841-5.1943422214394225E-5i,1.39E-10
1.3,2.18E+14,1.4438686261613538-3.702589589909308E-5i,2.20E-11
1.3,2.18E+14,1.4451778397464468-2.460989438274875E-5i,1.63E-10
1.3,2.18E+14,1.4451917385571809-1.5030771991484997E-5i,7.62E-11
1.3,2.18E+14,1.555030377,4.82E-13
1.3,2.19E+14,1.443794660156699-6.351542474664553E-5i,1.34E-10
1.3,2.19E+14,1.4443656619994873-4.8270044462030713E-5i,1.43E-10
1.3,2.19E+14,1.444186330631471-3.863766594357136E-5i,2.70E-11
1.3,2.19E+14,1.445258628606676-2.4240085061832996E-5i,1.63E-10
1.3,2.19E+14,1.4453915316318948-1.0640952557961081E-5i,3.77E-11
1.3,2.19E+14,1.556360912,4.76E-13
1.3,2.20E+14,1.4438870004145514-6.26181778284749E-5i,1.34E-10
1.3,2.20E+14,1.4443977908082868-5.018817317922921E-5i,1.46E-10
1.3,2.20E+14,1.4445623998719637-3.63165447400386E-5i,3.92E-11
1.3,2.20E+14,1.4453385519801691-2.3877624444734783E-5i,1.63E-10
1.3,2.20E+14,1.445686583131433-5.637150797877559E-6i,1.49E-11
1.3,2.20E+14,1.55768946,4.70E-13
1.4,1.70E+14,1.4374576265039916-1.3675812646940318E-4i,1.35E-10
1.4,1.70E+14,1.4372227026726532-1.3358505040448148E-4i,1.36E-10
1.4,1.70E+14,1.438364033352054-1.1274045087020862E-4i,1.34E-10
1.4,1.70E+14,1.4397772663203097-5.696660408462895E-5i,1.63E-10
1.4,1.70E+14,1.4395061501554267-5.609055340469575E-5i,1.35E-10
1.4,1.70E+14,1.495825936844639-1.4247096645701566E-14i,1.08E-12
1.4,1.71E+14,1.437637995564483-1.3436351757666707E-4i,1.34E-10
1.4,1.71E+14,1.4374113584266508-1.3093468824390108E-4i,1.36E-10
1.4,1.71E+14,1.4385337567703698-1.107475547828461E-4i,1.34E-10
1.4,1.71E+14,1.439934159094564-5.5810008205632E-5i,1.63E-10
1.4,1.71E+14,1.439663164304153-5.505769219028139E-5i,1.35E-10
1.4,1.71E+14,1.4971531331020005-8.965015273050831E-15i,1.05E-12
1.4,1.72E+14,1.4378153893931607-1.3199810296402132E-4i,1.34E-10
1.4,1.72E+14,1.4375966724803628-1.2827857885282413E-4i,1.36E-10
1.4,1.72E+14,1.4387006911931222-1.0880223459602215E-4i,1.34E-10
1.4,1.72E+14,1.4400883692316626-5.4685958731617054E-5i,1.63E-10
1.4,1.72E+14,1.439817644966996-5.404729611698395E-5i,1.35E-10
1.4,1.72E+14,1.498483475193494-5.7928278043567284E-15i,1.03E-12
1.4,1.73E+14,1.4379898729495888-1.2969914698395918E-4i,1.34E-10
1.4,1.73E+14,1.4377788251225394-1.2569962361331962E-4i,1.36E-10
1.4,1.73E+14,1.438864904760029-1.069020885648416E-4i,1.34E-10
1.4,1.73E+14,1.4402399684179723-5.359325637661378E-5i,1.63E-10
1.4,1.73E+14,1.4399696578739152-5.3058565584558895E-5i,1.35E-10
1.4,1.73E+14,1.4998167687403519-3.5518686614544778E-15i,1.01E-12
1.4,1.74E+14,1.43816152305378-1.2744977552163765E-4i,1.34E-10
1.4,1.74E+14,1.4379578861234465-1.2324618051894902E-4i,1.37E-10
1.4,1.74E+14,1.43902646505646-1.0504627352161758E-4i,1.34E-10
1.4,1.74E+14,1.4403890259192316-5.253075482058705E-5i,1.63E-10
1.4,1.74E+14,1.440119267027334-5.2090722670436863E-5i,1.35E-10
1.4,1.74E+14,1.5011528228995332-2.15949181965301E-15i,9.87E-13
1.4,1.75E+14,1.4383304175229976-1.2525008597126668E-4i,1.34E-10
1.4,1.75E+14,1.4381338557760268-1.2086666766434297E-4i,1.37E-10
1.4,1.75E+14,1.439185437374383-1.0323280834153336E-4i,1.34E-10
1.4,1.75E+14,1.4405356086828136-5.1497360043994075E-5i,1.63E-10
1.4,1.75E+14,1.4402665348120316-5.114300330262223E-5i,1.35E-10
1.4,1.75E+14,1.5024914504180726-1.4728414102431183E-15i,9.66E-13
1.4,1.76E+14,1.4384966103294086-1.2310295646044743E-4i,1.34E-10
1.4,1.76E+14,1.4383068751994985-1.1852393258900032E-4i,1.37E-10
1.4,1.76E+14,1.4393418844217771-1.0146093332809945E-4i,1.34E-10
1.4,1.76E+14,1.4406797814332344-5.049202797967562E-5i,1.63E-10
1.4,1.76E+14,1.4404115220973785-5.0214649978760305E-5i,1.35E-10
1.4,1.76E+14,1.5038324676770662-8.422468223812704E-16i,9.47E-13
1.4,1.77E+14,1.4386601733195477-1.210032231208181E-4i,1.34E-10
1.4,1.77E+14,1.4384769921275458-1.1624969681669217E-4i,1.37E-10
1.4,1.77E+14,1.4394958675220735-9.972943553564659E-5i,1.34E-10
1.4,1.77E+14,1.4408216067660564-4.951375983379084E-5i,1.63E-10
1.4,1.77E+14,1.440554288342643-4.930491175952471E-5i,1.35E-10
1.4,1.77E+14,1.5051756947261195-5.411664614563926E-16i,9.27E-13
1.4,1.78E+14,1.4388211655783898-1.1895203621534643E-4i,1.34E-10
1.4,1.78E+14,1.438644318283854-1.1403654521647013E-4i,1.37E-10
1.4,1.78E+14,1.4396474464771227-9.803698723884365E-5i,1.34E-10
1.4,1.78E+14,1.4406948917106621-4.8413038567409044E-5i,1.35E-10
1.4,1.78E+14,1.4409611452346878-4.856160129067225E-5i,1.63E-10
1.4,1.78E+14,1.5065209553087968-3.781081086947351E-16i,9.09E-13
1.4,1.79E+14,1.438979653273045-1.1694747907498754E-4i,1.34E-10
1.4,1.79E+14,1.4388089082540674-1.1189613575097089E-4i,1.37E-10
1.4,1.79E+14,1.4397966788805445-9.638243398624321E-5i,1.34E-10
1.4,1.79E+14,1.4410984554343114-4.7634639482307966E-5i,1.63E-10
1.4,1.79E+14,1.4408333891854148-4.7538279702731074E-5i,1.35E-10
1.4,1.79E+14,1.5078680768799555-2.715396026653535E-16i,8.91E-13
1.4,1.80E+14,1.4391356912276743-1.1498879235311254E-4i,1.34E-10
1.4,1.80E+14,1.4389708530317846-1.0979463140982059E-4i,1.37E-10
1.4,1.80E+14,1.439943620789269-9.476460942440008E-5i,1.34E-10
1.4,1.80E+14,1.4409698366996089-4.66798778398344E-5i,1.35E-10
1.4,1.80E+14,1.4412335940809093-4.673200110679766E-5i,1.63E-10
1.4,1.80E+14,1.509216891,8.74E-13
1.4,1.81E+14,1.4392893261424125-1.1307471420350043E-4i,1.34E-10
1.4,1.81E+14,1.4391301168620545-1.0772343715734935E-4i,1.37E-10
1.4,1.81E+14,1.440088326333222-9.318305429139239E-5i,1.34E-10
1.4,1.81E+14,1.4411042892749304-4.5837063382065074E-5i,1.35E-10
1.4,1.81E+14,1.4413666160860674-4.5852850497362553E-5i,1.63E-10
1.4,1.81E+14,1.510567231,8.57E-13
1.4,1.82E+14,1.4394406529600232-1.1119005516302391E-4i,1.34E-10
1.4,1.82E+14,1.439286883529636-1.0570001590595468E-4i,1.38E-10
1.4,1.82E+14,1.4402308491434284-9.163569333740413E-5i,1.34E-10
1.4,1.82E+14,1.441236801173974-4.5009053148958185E-5i,1.35E-10
1.4,1.82E+14,1.4414975746298908-4.4996387655877526E-5i,1.63E-10
1.4,1.82E+14,1.511918938,8.41E-13
1.4,1.83E+14,1.4395896975246316-1.0936520132659005E-4i,1.34E-10
1.4,1.83E+14,1.439441209711885-1.0379250588987007E-4i,1.38E-10
1.4,1.83E+14,1.4403712406597393-9.012326159757604E-5i,1.34E-10
1.4,1.83E+14,1.4413674260765084-4.4195035276085844E-5i,1.35E-10
1.4,1.83E+14,1.4416265212280062-4.416184587823655E-5i,1.63E-10
1.4,1.83E+14,1.513271852,8.26E-13
1.4,1.84E+14,1.4397365134618985-1.0758008039475106E-4i,1.34E-10
1.4,1.84E+14,1.4395931242198827-1.0188080212183893E-4i,1.38E-10
1.4,1.84E+14,1.4405095501481127-8.864339875351801E-5i,1.34E-10
1.4,1.84E+14,1.4414962172801058-4.339417120562535E-5i,1.35E-10
1.4,1.84E+14,1.4417535057972077-4.334849084217589E-5i,1.63E-10
1.4,1.84E+14,1.514625821,8.11E-13
1.4,1.85E+14,1.4398811382167904-1.058327175289919E-4i,1.34E-10
1.4,1.85E+14,1.4397426445721153-1.000307898032648E-4i,1.38E-10
1.4,1.85E+14,1.4406458266540028-8.719534286446704E-5i,1.34E-10
1.4,1.85E+14,1.441623227929329-4.2605577465745756E-5i,1.35E-10
1.4,1.85E+14,1.4418785767173647-4.2555618682429406E-5i,1.63E-10
1.4,1.85E+14,1.515980693,7.96E-13
1.4,1.86E+14,1.4400236499382197-1.0411516057594877E-4i,1.34E-10
1.4,1.86E+14,1.4398898647741303-9.824322526868115E-5i,1.38E-10
1.4,1.86E+14,1.4407801170627081-8.577869289449543E-5i,1.34E-10
1.4,1.86E+14,1.4417485112951145-4.182831739422891E-5i,1.35E-10
1.4,1.86E+14,1.4420017808905787-4.178255448347398E-5i,1.63E-10
1.4,1.86E+14,1.517336323,7.82E-13
1.4,1.87E+14,1.440164095324209-1.0242921818356637E-4i,1.34E-10
1.4,1.87E+14,1.4400349135729047-9.651731889542996E-5i,1.38E-10
1.4,1.87E+14,1.4409124678392948-8.439224439276895E-5i,1.34E-10
1.4,1.87E+14,1.441872121104162-4.1061384601316464E-5i,1.35E-10
1.4,1.87E+14,1.4421231637975347-4.102865053015705E-5i,1.63E-10
1.4,1.87E+14,1.518692566,7.68E-13
1.4,1.88E+14,1.4403025061712988-1.0078747159138512E-4i,1.34E-10
1.4,1.88E+14,1.4401777585378739-9.481348746453051E-5i,1.38E-10
1.4,1.88E+14,1.4410429233451827-8.303527454102641E-5i,1.34E-10
1.4,1.88E+14,1.4419941119458544-4.030368598667211E-5i,1.35E-10
1.4,1.88E+14,1.442242769550235-4.0293285611064356E-5i,1.63E-10
1.4,1.88E+14,1.520049284,7.55E-13
1.4,1.89E+14,1.4404389283757129-9.917966258077957E-5i,1.34E-10
1.4,1.89E+14,1.4403184531498274-9.314348986344778E-5i,1.38E-10
1.4,1.89E+14,1.4411715275756682-8.17068915992091E-5i,1.34E-10
1.4,1.89E+14,1.442114539775242-3.955401594708217E-5i,1.36E-10
1.4,1.89E+14,1.4423606409446512-3.957586326955826E-5i,1.63E-10
1.4,1.89E+14,1.521406341,7.42E-13
1.4,1.90E+14,1.4405734144011035-9.760799397187652E-5i,1.34E-10
1.4,1.90E+14,1.440457084107975-9.152519999859088E-5i,1.38E-10
1.4,1.90E+14,1.4412983231314567-8.040639484303825E-5i,1.34E-10
1.4,1.90E+14,1.4422334625467719-3.881102614849883E-5i,1.36E-10
1.4,1.90E+14,1.4424768195092226-3.8875810740330735E-5i,1.63E-10
1.4,1.90E+14,1.522763604,7.30E-13
1.4,1.91E+14,1.4407060037676993-9.608049703092208E-5i,1.34E-10
1.4,1.91E+14,1.4405936063037381-8.994402130521896E-5i,1.38E-10
1.4,1.91E+14,1.441423350923529-7.913259001535228E-5i,1.34E-10
1.4,1.91E+14,1.442591345551259-3.819257794617961E-5i,1.63E-10
1.4,1.91E+14,1.4423509410267499-3.807318710640057E-5i,1.36E-10
1.4,1.91E+14,1.5241209440991788-2.4400172040186444E-16i,7.18E-13
1.4,1.92E+14,1.4408367548154675-9.456016959113026E-5i,1.34E-10
1.4,1.92E+14,1.440728298421163-8.838933028470949E-5i,1.39E-10
1.4,1.92E+14,1.44154665178381-7.7885364482147E-5i,1.34E-10
1.4,1.92E+14,1.4427042582027882-3.752563600553324E-5i,1.63E-10
1.4,1.92E+14,1.4424670398456263-3.733873581321014E-5i,1.36E-10
1.4,1.92E+14,1.525478236,7.06E-13
1.4,1.93E+14,1.4409656786126943-9.308346187462888E-5i,1.34E-10
1.4,1.93E+14,1.440860929957367-8.690296234594702E-5i,1.39E-10
1.4,1.93E+14,1.4416682657034396-7.666343143980555E-5i,1.34E-10
1.4,1.93E+14,1.4428155954610866-3.6874476937751546E-5i,1.63E-10
1.4,1.93E+14,1.4425818288894836-3.66056082338856E-5i,1.36E-10
1.4,1.93E+14,1.526835359,6.95E-13
1.4,1.94E+14,1.4410928432602632-9.16326699889112E-5i,1.34E-10
1.4,1.94E+14,1.4409917355405366-8.538511306329027E-5i,1.39E-10
1.4,1.94E+14,1.4417882307582996-7.546657834283483E-5i,1.34E-10
1.4,1.94E+14,1.44292539423244-3.623861163978501E-5i,1.63E-10
1.4,1.94E+14,1.4426953851646924-3.5871344465129634E-5i,1.36E-10
1.4,1.94E+14,1.528192192,6.84E-13
1.4,1.95E+14,1.4412182759780505-9.022030819310436E-5i,1.34E-10
1.4,1.95E+14,1.4411206252158513-8.393236627188798E-5i,1.39E-10
1.4,1.95E+14,1.441906585480305-7.429331994425538E-5i,1.34E-10
1.4,1.95E+14,1.4430336903686154-3.5617570424327356E-5i,1.63E-10
