% Model,WG_straight_副本.mph,,
% Version,COMSOL 6.2.0.339,,
% Date,"Sep 14 2025, 10:04",,
% Table,,,
% wg_width (um),sample_freq (1/s),neff (m^2),
0.8,1.83E+14,1.4395896705065745-1.0935445466210905E-4i,1.34E-10
0.8,1.83E+14,1.4403686631267407-9.029491362324489E-5i,1.34E-10
0.8,1.83E+14,1.4415450410925248-4.715569113929284E-5i,1.61E-10
0.8,1.83E+14,1.4413381534824306-4.581232799877477E-5i,1.34E-10
0.8,1.83E+14,1.4704828910043863-4.622638310682367E-12i,1.24E-12
0.8,1.84E+14,1.4394792452542557-1.0827834019654224E-4i,1.34E-10
0.8,1.84E+14,1.4397364815869795-1.0754936139713445E-4i,1.34E-10
0.8,1.84E+14,1.4405069658070973-8.88147788542658E-5i,1.34E-10
0.8,1.84E+14,1.4416756880847164-4.619522014253179E-5i,1.62E-10
0.8,1.84E+14,1.4414659095166407-4.506003338792348E-5i,1.34E-10
0.8,1.84E+14,1.4714695486469427-3.00668744551504E-12i,1.20E-12
0.8,1.85E+14,1.4396340244886157-1.0611078616420149E-4i,1.34E-10
0.8,1.85E+14,1.4398811210683884-1.0580919147100065E-4i,1.34E-10
0.8,1.85E+14,1.4406432325845433-8.736702107356294E-5i,1.34E-10
0.8,1.85E+14,1.4418042412339216-4.526292169805523E-5i,1.62E-10
0.8,1.85E+14,1.4415918026764234-4.432408006196987E-5i,1.34E-10
0.8,1.85E+14,1.472466918469006-1.947903788909298E-12i,1.16E-12
0.8,1.86E+14,1.4400236341586756-1.0408803025289329E-4i,1.34E-10
0.8,1.86E+14,1.4397861560317522-1.0396154960974539E-4i,1.34E-10
0.8,1.86E+14,1.4407775111158199-8.59505393497419E-5i,1.34E-10
0.8,1.86E+14,1.441930757039207-4.4357708650504335E-5i,1.62E-10
0.8,1.86E+14,1.4417158762683968-4.360402495533803E-5i,1.34E-10
0.8,1.86E+14,1.4734748324889955-1.2569631524586111E-12i,1.13E-12
0.8,1.87E+14,1.44016407071611-1.0241358343488163E-4i,1.34E-10
